Title,Author.Year,Lat,Long,Crop_Type,Crop_TypeMaize,Crop_TypeRice,Crop_TypeWheat,Tmp,Prec,BD,Clay,SOC,pH,Fertilizer,FertilizerAN,FertilizerMA,FertilizerO,FertilizerU,FertilizerEEF,Tillage practice,Irrigation,Fertilizer placement,Nrate,EF,Management,Continent
Effects of nitrogen fertiliser and wheat straw application on CH4 and N2O emissions from a paddy rice field,"Ma et al., 2007",31.28,119.9,Rice,0,1,0,1.087708948,0.22407393,-0.119436313,-1.19929715,-1.061533572,-0.777695509,MA,0,1,0,0,0,1,0,0,0.635931729,0.01,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,1.120609774,-0.100579928,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,0.45209116,0.01,,Asia
Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009",30.5,120.4,Rice,0,1,0,1.679923816,0.023670314,-0.119436313,-0.266581924,-1.061533572,0.964281753,U,0,0,0,1,0,1,0,1,1.912001564,0.02,,Asia
Effects of nitrogen fertiliser and wheat straw application on CH4 and N2O emissions from a paddy rice field,"Ma et al., 2007",31.28,119.9,Rice,0,1,0,1.087708948,0.22407393,-0.119436313,-1.19929715,-1.061533572,-0.777695509,MA,0,1,0,0,0,1,0,0,1.392922309,0.02,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,0.873853579,0.336299956,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,0.45209116,0.02,,Asia
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Rice,0,1,0,1.104159361,0.460550198,-0.119436313,0.044323151,-0.344595198,0.267490848,U,0,0,0,1,0,1,0,0,-0.358970175,0.03,,Asia
Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009",30.5,120.4,Rice,0,1,0,1.679923816,0.023670314,-0.119436313,-0.266581924,-1.061533572,0.964281753,U,0,0,0,1,0,1,0,1,-0.034545641,0.03,,Asia
A 3-year record of N2O and CH4 emissions from a sandy loam paddy during rice seasons as affected by different nitrogen application rates,"Yao et al., 2012",32.6,119.7,Rice,0,1,0,0.643547797,1.109857915,-1.054568357,-0.732939537,0.372343176,-0.777695509,O,0,0,1,0,0,1,0,0,-0.358970175,0.39,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,0.873853579,0.336299956,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,1.263152495,0.03,,Asia
Methane and nitrous oxide emissions as affected by organic???¡°Cinorganic mixed fertilizer from a rice paddy in southeast China,"Wang et al., 2013",31.55,120.72,Rice,0,1,0,1.038357709,0.336299956,-0.119436313,0.044323151,-0.464084927,0.615886301,MA,0,1,0,0,0,1,0,1,-0.034545641,0.03,,Asia
Methane and nitrous oxide emissions from rice paddy fields as affected by nitrogen fertilisers and water management,"Cai et al., 1997",32.48,118.6,Rice,0,1,0,1.48251886,-1.371138857,1.750827774,-0.266581924,-0.464084927,1.312677206,U,0,0,0,1,0,1,1,0,-0.899677732,0.03,,Asia
A 3-year record of N2O and CH4 emissions from a sandy loam paddy during rice seasons as affected by different nitrogen application rates,"Yao et al., 2012",32.6,119.7,Rice,0,1,0,0.594196558,1.630907318,-1.054568357,-0.732939537,0.372343176,-0.777695509,O,0,0,1,0,0,1,0,0,-0.358970175,0.51,,Asia
Nitrous oxide emissions from three rice paddy fields in China,"Hua et al., 1997",28.25,116.92,Rice,0,1,0,1.268663491,1.374390689,0.815695731,-0.188855655,-0.464084927,0.499754483,U,0,0,0,1,0,1,0,0,-0.899677732,0.03,,Asia
A 3-year record of N2O and CH4 emissions from a sandy loam paddy during rice seasons as affected by different nitrogen application rates,"Yao et al., 2012",32.6,119.7,Rice,0,1,0,0.643547797,1.109857915,-1.054568357,-0.732939537,0.372343176,-0.777695509,O,0,0,1,0,0,1,0,0,0.722444939,0.74,,Asia
Nitrous oxide emission following Urea-N fertilization of Wetland rice,"Smith et al., 1982",31.17,-92,Rice,0,1,0,1.235762665,0.011646097,-0.119436313,-0.095584133,-0.942043843,-1.009959144,U,0,0,0,1,0,1,0,1,-0.034545641,0.03,,South America
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Rice,0,1,0,1.104159361,0.460550198,-0.119436313,0.044323151,-0.344595198,0.267490848,U,0,0,0,1,0,1,0,0,-0.899677732,0.04,,Asia
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Rice,0,1,0,1.104159361,0.460550198,-0.119436313,0.044323151,-0.344595198,0.267490848,U,0,0,0,1,0,1,0,0,1.263152495,0.04,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,1.120609774,-0.100579928,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,0.938727961,0.04,,Asia
Influence of nitrogen and phosphorus fertilizers on N2O emissions in rice fields,"Huang et al., 2005",30.5,120.4,Rice,0,1,0,1.038357709,-0.100579928,-0.119436313,-0.266581924,-0.464084927,0.035227213,U,0,0,0,1,0,1,0,0,-0.034545641,0.04,,Asia
Nitrous oxide emission following Urea-N fertilization of Wetland rice,"Smith et al., 1982",31.17,-92,Rice,0,1,0,1.235762665,0.011646097,-0.119436313,-0.095584133,-0.942043843,-1.009959144,U,0,0,0,1,0,1,0,1,-1.007819243,0.04,,South America
Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,"Adviento Borbe et al., 2013",34.45,-91.4,Rice,0,1,0,1.449618034,-0.886162105,0.815695731,-0.422034462,-0.942043843,-0.777695509,U,0,0,0,1,0,1,1,0,-0.769907918,0.04,,South America
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Rice,0,1,0,1.104159361,0.460550198,-0.119436313,0.044323151,-0.344595198,0.267490848,U,0,0,0,1,0,1,0,0,0.722444939,0.05,,Asia
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Rice,0,1,0,1.104159361,0.460550198,-0.119436313,0.044323151,-0.344595198,0.267490848,U,0,0,0,1,0,1,0,0,0.181737382,0.05,,Asia
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Rice,0,1,0,1.104159361,0.460550198,-0.119436313,0.044323151,-0.344595198,0.267490848,U,0,0,0,1,0,1,0,0,1.803860052,0.05,,Asia
A 3-year record of N2O and CH4 emissions from a sandy loam paddy during rice seasons as affected by different nitrogen application rates,"Yao et al., 2012",32.6,119.7,Rice,0,1,0,0.594196558,1.630907318,-1.054568357,-0.732939537,0.372343176,-0.777695509,O,0,0,1,0,0,1,0,0,0.722444939,0.78,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,0.873853579,0.336299956,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,0.938727961,0.05,,Asia
Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009",30.5,120.4,Rice,0,1,0,1.679923816,0.023670314,-0.119436313,-0.266581924,-1.061533572,0.964281753,U,0,0,0,1,0,1,0,1,0.938727961,0.06,,Asia
A 3-year record of N2O and CH4 emissions from a sandy loam paddy during rice seasons as affected by different nitrogen application rates,"Yao et al., 2012",32.6,119.7,Rice,0,1,0,0.544845319,2.572804316,-1.054568357,-0.732939537,0.372343176,-0.777695509,O,0,0,1,0,0,1,0,0,-0.358970175,1,,Asia
Effects of nitrogen fertiliser and wheat straw application on CH4 and N2O emissions from a paddy rice field,"Ma et al., 2007",31.28,119.9,Rice,0,1,0,1.005456883,-0.629645476,-0.119436313,-1.19929715,-1.061533572,-0.777695509,MA,0,1,0,0,0,1,0,0,0.635931729,0.06,,Asia
Effects of nitrogen fertiliser and wheat straw application on CH4 and N2O emissions from a paddy rice field,"Ma et al., 2007",31.28,119.9,Rice,0,1,0,1.071258535,0.139904412,-0.119436313,-1.19929715,-1.061533572,-0.777695509,MA,0,1,0,0,0,1,0,0,0.635931729,0.06,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.22,120.27,Rice,0,1,0,0.923204818,0.41245333,0.815695731,-0.577487,-0.344595198,-1.474486414,U,0,0,0,1,0,1,0,0,-1.17003151,0.06,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,0.956105644,0.115855978,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,0.45209116,0.06,,Asia
A 3-year record of N2O and CH4 emissions from a sandy loam paddy during rice seasons as affected by different nitrogen application rates,"Yao et al., 2012",32.6,119.7,Rice,0,1,0,0.544845319,2.572804316,-1.054568357,-0.732939537,0.372343176,-0.777695509,O,0,0,1,0,0,1,0,0,0.722444939,1.22,,Asia
A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,"Baggs et al., 2006",0.12,34.48,Maize,1,0,0,0.906754405,0.680994176,-1.989700401,-0.266581924,-0.583574656,-1.126090962,O,0,0,1,0,0,1,0,1,0.895471357,0.14,,Asia
A short-term investigation of trace gas emissions following tillage and no-tillage of agroforestry residues in western Kenya,"Baggs et al., 2006",0.12,34.48,Maize,1,0,0,0.906754405,0.680994176,-1.989700401,-0.266581924,-0.583574656,-1.126090962,O,0,0,1,0,0,1,0,1,0.019525115,0.16,,Asia
Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",48.5,11.35,Wheat,0,0,1,-0.557332352,0.268162726,-0.119436313,-0.344308193,3.47907613,-1.822881867,EEF,0,0,1,0,1,1,0,0,-0.034545641,1.86,,Europe
Effects of Water and Nitrogenous Fertilizer Coupling on CH4 and N2O Emission from Double-Season Rice Paddy Field,"Fu et al., 2015",28.14,113.2,Rice,0,1,0,1.219312252,0.648929597,0.815695731,-0.188855655,-0.464084927,-0.893827327,U,0,0,0,1,0,1,0,0,-1.007819243,0.07,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,0.956105644,0.115855978,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,1.263152495,0.07,,Asia
Influence of nitrogen and phosphorus fertilizers on N2O emissions in rice fields,"Huang et al., 2005",30.5,120.4,Rice,0,1,0,1.038357709,-0.100579928,-0.119436313,-0.266581924,-0.464084927,0.035227213,U,0,0,0,1,0,1,0,0,-1.007819243,0.07,,Asia
